Archivo: a280.tsp, semilla: 95215391
Permutacion Pos1: (202(Ciudad: 6)) -> Pos2: (235(Ciudad: 251)). Coste sin permutar: 11418.948687626953, Coste con permutacion: 11393.38335318444

Permutacion Pos1: (43(Ciudad: 263)) -> Pos2: (61(Ciudad: 19)). Coste sin permutar: 11393.38335318444, Coste con permutacion: 11318.49734896093

Permutacion Pos1: (184(Ciudad: 179)) -> Pos2: (4(Ciudad: 83)). Coste sin permutar: 11318.49734896093, Coste con permutacion: 11257.434775554328

Permutacion Pos1: (38(Ciudad: 80)) -> Pos2: (154(Ciudad: 155)). Coste sin permutar: 11257.434775554328, Coste con permutacion: 11240.461241206796

Permutacion Pos1: (65(Ciudad: 271)) -> Pos2: (99(Ciudad: 33)). Coste sin permutar: 11240.461241206796, Coste con permutacion: 11193.204005357933

Permutacion Pos1: (112(Ciudad: 197)) -> Pos2: (76(Ciudad: 272)). Coste sin permutar: 11193.204005357933, Coste con permutacion: 11182.079854455176

Permutacion Pos1: (205(Ciudad: 215)) -> Pos2: (158(Ciudad: 248)). Coste sin permutar: 11182.079854455176, Coste con permutacion: 11167.39965801695

Permutacion Pos1: (101(Ciudad: 220)) -> Pos2: (186(Ciudad: 31)). Coste sin permutar: 11167.39965801695, Coste con permutacion: 11123.944465092021

Permutacion Pos1: (178(Ciudad: 201)) -> Pos2: (71(Ciudad: 60)). Coste sin permutar: 11123.944465092021, Coste con permutacion: 11113.09996155643

Permutacion Pos1: (142(Ciudad: 122)) -> Pos2: (37(Ciudad: 256)). Coste sin permutar: 11113.09996155643, Coste con permutacion: 11097.322198955266

Permutacion Pos1: (58(Ciudad: 117)) -> Pos2: (177(Ciudad: 20)). Coste sin permutar: 11097.322198955266, Coste con permutacion: 11072.423062124848

Permutacion Pos1: (265(Ciudad: 34)) -> Pos2: (148(Ciudad: 47)). Coste sin permutar: 11072.423062124848, Coste con permutacion: 11042.236328249723

Permutacion Pos1: (260(Ciudad: 218)) -> Pos2: (132(Ciudad: 75)). Coste sin permutar: 11042.236328249723, Coste con permutacion: 11030.902321714826

Permutacion Pos1: (138(Ciudad: 137)) -> Pos2: (32(Ciudad: 260)). Coste sin permutar: 11030.902321714826, Coste con permutacion: 11001.333561726497

Permutacion Pos1: (9(Ciudad: 28)) -> Pos2: (114(Ciudad: 124)). Coste sin permutar: 11001.333561726497, Coste con permutacion: 10979.605755729137

Permutacion Pos1: (268(Ciudad: 175)) -> Pos2: (29(Ciudad: 243)). Coste sin permutar: 10979.605755729137, Coste con permutacion: 10964.655023364568

Permutacion Pos1: (268(Ciudad: 125)) -> Pos2: (56(Ciudad: 243)). Coste sin permutar: 10964.655023364568, Coste con permutacion: 10917.621081629804

Permutacion Pos1: (177(Ciudad: 218)) -> Pos2: (132(Ciudad: 117)). Coste sin permutar: 10917.621081629804, Coste con permutacion: 10883.14875073775

Permutacion Pos1: (170(Ciudad: 15)) -> Pos2: (233(Ciudad: 223)). Coste sin permutar: 10883.14875073775, Coste con permutacion: 10863.578851878385

Permutacion Pos1: (115(Ciudad: 181)) -> Pos2: (14(Ciudad: 26)). Coste sin permutar: 10863.578851878385, Coste con permutacion: 10781.841282542557

Permutacion Pos1: (213(Ciudad: 137)) -> Pos2: (32(Ciudad: 226)). Coste sin permutar: 10781.841282542557, Coste con permutacion: 10758.8184890217

Permutacion Pos1: (115(Ciudad: 185)) -> Pos2: (68(Ciudad: 26)). Coste sin permutar: 10758.8184890217, Coste con permutacion: 10727.705898678008

Permutacion Pos1: (68(Ciudad: 36)) -> Pos2: (196(Ciudad: 185)). Coste sin permutar: 10727.705898678008, Coste con permutacion: 10707.14406941767

Permutacion Pos1: (184(Ciudad: 225)) -> Pos2: (215(Ciudad: 83)). Coste sin permutar: 10707.14406941767, Coste con permutacion: 10673.676999940204

Permutacion Pos1: (67(Ciudad: 25)) -> Pos2: (118(Ciudad: 183)). Coste sin permutar: 10673.676999940204, Coste con permutacion: 10659.904560118339

Permutacion Pos1: (68(Ciudad: 178)) -> Pos2: (6(Ciudad: 185)). Coste sin permutar: 10659.904560118339, Coste con permutacion: 10633.034032599573

Permutacion Pos1: (128(Ciudad: 196)) -> Pos2: (75(Ciudad: 193)). Coste sin permutar: 10633.034032599573, Coste con permutacion: 10599.677858635483

Permutacion Pos1: (278(Ciudad: 40)) -> Pos2: (162(Ciudad: 242)). Coste sin permutar: 10599.677858635483, Coste con permutacion: 10588.518197889627

Permutacion Pos1: (96(Ciudad: 182)) -> Pos2: (26(Ciudad: 188)). Coste sin permutar: 10588.518197889627, Coste con permutacion: 10539.303857576524

Permutacion Pos1: (169(Ciudad: 3)) -> Pos2: (205(Ciudad: 217)). Coste sin permutar: 10539.303857576524, Coste con permutacion: 10490.651037095611

Permutacion Pos1: (169(Ciudad: 160)) -> Pos2: (30(Ciudad: 217)). Coste sin permutar: 10490.651037095611, Coste con permutacion: 10426.79774091067

Permutacion Pos1: (268(Ciudad: 174)) -> Pos2: (95(Ciudad: 243)). Coste sin permutar: 10426.79774091067, Coste con permutacion: 10375.667176353765

Permutacion Pos1: (224(Ciudad: 95)) -> Pos2: (153(Ciudad: 97)). Coste sin permutar: 10375.667176353765, Coste con permutacion: 10354.0205842484

Permutacion Pos1: (73(Ciudad: 94)) -> Pos2: (151(Ciudad: 200)). Coste sin permutar: 10354.0205842484, Coste con permutacion: 10329.82282378937

Permutacion Pos1: (253(Ciudad: 272)) -> Pos2: (112(Ciudad: 233)). Coste sin permutar: 10329.82282378937, Coste con permutacion: 10305.99556568732

Permutacion Pos1: (168(Ciudad: 193)) -> Pos2: (128(Ciudad: 219)). Coste sin permutar: 10305.99556568732, Coste con permutacion: 10285.234085794507

Permutacion Pos1: (176(Ciudad: 102)) -> Pos2: (180(Ciudad: 116)). Coste sin permutar: 10285.234085794507, Coste con permutacion: 10264.58372461856

Permutacion Pos1: (70(Ciudad: 131)) -> Pos2: (42(Ciudad: 199)). Coste sin permutar: 10264.58372461856, Coste con permutacion: 10232.58372461856

Permutacion Pos1: (227(Ciudad: 239)) -> Pos2: (273(Ciudad: 171)). Coste sin permutar: 10232.58372461856, Coste con permutacion: 10206.894459976384

Permutacion Pos1: (265(Ciudad: 2)) -> Pos2: (245(Ciudad: 47)). Coste sin permutar: 10206.894459976384, Coste con permutacion: 10176.744082730875

Permutacion Pos1: (14(Ciudad: 152)) -> Pos2: (31(Ciudad: 181)). Coste sin permutar: 10176.744082730875, Coste con permutacion: 10156.057774917877

Permutacion Pos1: (66(Ciudad: 253)) -> Pos2: (97(Ciudad: 184)). Coste sin permutar: 10156.057774917877, Coste con permutacion: 10126.389034534874

Permutacion Pos1: (248(Ciudad: 157)) -> Pos2: (16(Ciudad: 10)). Coste sin permutar: 10126.389034534874, Coste con permutacion: 10114.405146730469

Permutacion Pos1: (25(Ciudad: 71)) -> Pos2: (240(Ciudad: 199)). Coste sin permutar: 10114.405146730469, Coste con permutacion: 10077.3837952239

Permutacion Pos1: (121(Ciudad: 239)) -> Pos2: (273(Ciudad: 29)). Coste sin permutar: 10077.3837952239, Coste con permutacion: 10053.302287050206

Permutacion Pos1: (62(Ciudad: 170)) -> Pos2: (228(Ciudad: 264)). Coste sin permutar: 10053.302287050206, Coste con permutacion: 10043.413743230209

Permutacion Pos1: (27(Ciudad: 126)) -> Pos2: (64(Ciudad: 172)). Coste sin permutar: 10043.413743230209, Coste con permutacion: 10015.170692918105

Permutacion Pos1: (79(Ciudad: 235)) -> Pos2: (275(Ciudad: 189)). Coste sin permutar: 10015.170692918105, Coste con permutacion: 9996.638225685949

Permutacion Pos1: (94(Ciudad: 270)) -> Pos2: (47(Ciudad: 110)). Coste sin permutar: 9996.638225685949, Coste con permutacion: 9965.832242828294

Permutacion Pos1: (187(Ciudad: 242)) -> Pos2: (278(Ciudad: 224)). Coste sin permutar: 9965.832242828294, Coste con permutacion: 9941.508047454185

Permutacion Pos1: (187(Ciudad: 180)) -> Pos2: (15(Ciudad: 224)). Coste sin permutar: 9941.508047454185, Coste con permutacion: 9937.220745293576

Permutacion Pos1: (197(Ciudad: 126)) -> Pos2: (64(Ciudad: 35)). Coste sin permutar: 9937.220745293576, Coste con permutacion: 9929.310708257646

Permutacion Pos1: (15(Ciudad: 59)) -> Pos2: (163(Ciudad: 180)). Coste sin permutar: 9929.310708257646, Coste con permutacion: 9910.931012103703

Permutacion Pos1: (68(Ciudad: 197)) -> Pos2: (76(Ciudad: 185)). Coste sin permutar: 9910.931012103703, Coste con permutacion: 9900.468989236299

Permutacion Pos1: (28(Ciudad: 246)) -> Pos2: (269(Ciudad: 164)). Coste sin permutar: 9900.468989236299, Coste con permutacion: 9878.530721056693

Permutacion Pos1: (123(Ciudad: 147)) -> Pos2: (19(Ciudad: 163)). Coste sin permutar: 9878.530721056693, Coste con permutacion: 9858.944018803139


Archivo: ch130.tsp, semilla: 95215391
Permutacion Pos1: (36(Ciudad: 96)) -> Pos2: (91(Ciudad: 37)). Coste sin permutar: 43450.08448323217, Coste con permutacion: 41677.171907591415

Permutacion Pos1: (110(Ciudad: 59)) -> Pos2: (81(Ciudad: 57)). Coste sin permutar: 41677.171907591415, Coste con permutacion: 40225.71829840814

Permutacion Pos1: (43(Ciudad: 116)) -> Pos2: (12(Ciudad: 3)). Coste sin permutar: 40225.71829840814, Coste con permutacion: 37936.9339789035

Permutacion Pos1: (96(Ciudad: 55)) -> Pos2: (70(Ciudad: 32)). Coste sin permutar: 37936.9339789035, Coste con permutacion: 37068.62772576316

Permutacion Pos1: (124(Ciudad: 96)) -> Pos2: (117(Ciudad: 86)). Coste sin permutar: 37068.62772576316, Coste con permutacion: 36046.87404215552

Permutacion Pos1: (41(Ciudad: 42)) -> Pos2: (37(Ciudad: 47)). Coste sin permutar: 36046.87404215552, Coste con permutacion: 35178.675513787086

Permutacion Pos1: (127(Ciudad: 44)) -> Pos2: (29(Ciudad: 101)). Coste sin permutar: 35178.675513787086, Coste con permutacion: 33955.258567402925

Permutacion Pos1: (89(Ciudad: 38)) -> Pos2: (22(Ciudad: 113)). Coste sin permutar: 33955.258567402925, Coste con permutacion: 33061.196921432296

Permutacion Pos1: (95(Ciudad: 116)) -> Pos2: (12(Ciudad: 14)). Coste sin permutar: 33061.196921432296, Coste con permutacion: 32219.137654743405

Permutacion Pos1: (129(Ciudad: 122)) -> Pos2: (115(Ciudad: 123)). Coste sin permutar: 32219.137654743405, Coste con permutacion: 31266.647233822663

Permutacion Pos1: (30(Ciudad: 13)) -> Pos2: (113(Ciudad: 46)). Coste sin permutar: 31266.647233822663, Coste con permutacion: 30041.76536569809

Permutacion Pos1: (127(Ciudad: 46)) -> Pos2: (30(Ciudad: 101)). Coste sin permutar: 30041.76536569809, Coste con permutacion: 29032.17809195785

Permutacion Pos1: (30(Ciudad: 124)) -> Pos2: (88(Ciudad: 46)). Coste sin permutar: 29032.17809195785, Coste con permutacion: 28332.755629160867

Permutacion Pos1: (117(Ciudad: 126)) -> Pos2: (62(Ciudad: 96)). Coste sin permutar: 28332.755629160867, Coste con permutacion: 27957.93785065145

